# Taxonomy review (issue #38): one verdict per candidate of taxonomy-candidates-2026-09-24.tsv with df>=3,
# in that file's order, split across four subagents; the last rows were added by hand. Merged into
# src/main/resources/taxonomy/skills.tsv by scripts/taxonomy_select.py with a threshold of 3.
name	verdict	canonical	category	aliases	note
Markdown	keep	Markdown	tool		md: abbreviation (MD, Maryland); pandoc: other tool
BGP	keep	BGP	networking	Border Gateway Protocol	
Liquid	drop				ordinary word
CoffeeScript	drop				coffee noise; honest forms 0
Apache Hadoop	keep	Apache Hadoop	data	Hadoop	
Clustering	drop				generic concept
Database design	drop				generic concept
Systems integration	drop				generic concept
Jest	keep	Jest	testing		
Pod	drop				ordinary word
A♯	drop				obscure; A sharp noise
WAN	drop				generic concept
Regression testing	drop				generic concept
ShellSession	drop				console noise
Security testing	drop				generic concept
Ada	drop				collides with ADA (disabilities act); no safe form
Cuda	keep	CUDA	framework		
Penetration testing	drop				generic concept
Hope	drop				ordinary word
DHCP	keep	DHCP	networking	Dynamic Host Configuration Protocol	
Boost	keep	Boost C++ Libraries	framework	libboost	Boost: ordinary word
structured text	drop				ST noise; honest form matches almost nothing
Ubuntu	keep	Ubuntu	os	Canonical Ubuntu|Ubuntu Linux|Ubuntu OS|Ubuntu GNU/Linux	
MDM	drop				generic concept; MDM ambiguous (mobile device management)
OpenSearch	keep	OpenSearch	database		
Component Object Model	drop				COM noise (.com); honest form 0
Workday	drop				workday: ordinary word
Starlark	keep	Bazel	tool		Starlark 0; all matches are bazel, so kept as Bazel
Forth	drop				ordinary word (so forth)
Google Sheets	keep	Google Sheets	data	Google Spreadsheets	Sheets, Spreadsheets: ordinary words; URLs left out
Gradle	keep	Gradle	tool	Gradle Build Tool	
Micrografx Designer	drop				Designer noise; historical
Resource management	drop				generic concept
GNU lightning	drop				lightning noise; obscure
ImpressCMS	drop				CMS noise; honest form 0
Database management	drop				generic concept
Switch	drop				generic concept / ordinary word
Apache Cassandra	keep	Apache Cassandra	database	Cassandra	
Interpreter	drop				generic concept
MATLAB	keep	MATLAB	language	Matrix Laboratory	
Flask	keep	Flask	framework		
Hugging Face	keep	Hugging Face	ml	HuggingFace	
Protocol Buffer	keep	Protocol Buffers	tool	Protocol Buffer|protobuf|protobuf3	proto: too generic
Kinesis	keep	Amazon Kinesis	data	Kinesis|AWS Kinesis	
ht://Dig	drop				Dig noise; obscure
LAN	drop				generic concept
XML	keep	XML	language	Extensible Markup Language	xsd, wsdl: different things
General Architecture for Text Engineering	drop				GATE noise; honest form 0
Redux	keep	Redux	framework		
SonarQube	keep	SonarQube	testing		Sonar: also sonar sensing
RPC	drop				generic concept; xdr noise (extended detection and response)
Windows Server	keep	Windows Server	os		
Figma	keep	Figma	tool		figma.com: URL
Apex	keep	Salesforce Apex	language		Apex: ordinary word, Apex Systems, Oracle APEX
Microsoft Word	drop				office software; Word noise
IDS	drop				generic concept
Postman	keep	Postman	tool		
LiveCode	drop				Revolution noise; honest forms 0
Nunjucks	drop				NJ noise (New Jersey); honest form 0
Load testing	drop				generic concept
Chef	keep	Chef	devops	Progress Chef|Chef Infra	Chef software: not how people write it
Data extraction	drop				generic concept
RESTful API	keep	RESTful API	tool	RESTful|REST API|REST APIs|RESTful APIs	REST: ordinary word
Data validation	drop				generic concept
Logitech Media Server	drop				consumer software; SC/LMS noise
Risk assessment	drop				generic concept
DOS	drop				historical; collides with DoS attacks, do's
Google Apps Script	keep	Google Apps Script	language	Apps Script	GAS: ordinary word
MITRE ATT&CK	keep	MITRE ATT&CK	security		
Apache Hive	keep	Apache Hive	data	Hive	
OSPF	keep	OSPF	networking	Open Shortest Path First	
Tailwind CSS	keep	Tailwind CSS	framework	Tailwind|TailwindCSS	
webpack	keep	webpack	tool		
Cool	drop				ordinary word
JUnit	keep	JUnit	testing		
Flutter	keep	Flutter	framework		
Microsoft SharePoint	keep	Microsoft SharePoint	tool	SharePoint	
Kubeflow	keep	Kubeflow	ml		
Microsoft Outlook	drop				office software nobody lists
Vite	keep	Vite	tool	Vite.js|vitejs	
Compilers	drop				generic concept
FLUX	drop				flux: ordinary word (in flux)
Quantum	drop				ordinary word; Firefox engine
Robot Operating System	keep	Robot Operating System	framework	ROS|ROS2|ROS 2|Robotic Operating System	
npm	keep	npm	tool	Node Package Manager	
Hibernate	keep	Hibernate	framework	Hibernate ORM	
Salt	keep	SaltStack	devops	Salt Project	Salt: ordinary word; saltstate left out
Bootstrap	keep	Bootstrap	framework	Twitter Bootstrap	
Ignore List	drop				ignore noise
Microsoft Defender Antivirus	keep	Microsoft Defender	security	Microsoft Defender Antivirus|Windows Defender|Defender Antivirus|Microsoft Defender for Endpoint	Defender: ordinary word
Data mining	drop				generic concept
SeeU	drop				SeU noise; obscure
OpenShift	keep	OpenShift	devops	Red Hat OpenShift	
SCM	drop				generic concept; ambiguous abbreviation
q	drop				single letter
IDE	drop				generic concept
Adobe Flash	drop				historical; flash noise (flash memory)
Adobe Flash Player	drop				historical; flash noise
Cobalt Qube	drop				Qube noise; historical
Hosts File	drop				hosts noise
Component libraries	drop				generic concept
Static analysis	drop				generic concept
Help desk	drop				generic concept
NAS	drop				generic concept
IPS	drop				generic concept
EMR	keep	Amazon EMR	data	Elastic MapReduce|AWS EMR	EMR: electronic medical records
Kit	drop				ordinary word
BETA	drop				ordinary word
IQ	drop				ambiguous abbreviation
S&box	drop				Sandbox noise
Bitbucket	keep	Bitbucket	tool	Atlassian Bitbucket	bitbucket.org: URL
NestJS	keep	NestJS	framework	Nest.js	Nest: ordinary word, Google Nest
XGBoost	keep	XGBoost	ml	eXtreme Gradient Boosting	
Checksums	drop				sum/hash noise; generic concept
Network monitoring	drop				generic concept
Perl	keep	Perl	language	Perl 5	Pearl: different word; cperl, Perl/CGI left out
Xcas	drop				giac noise (GIAC certs)
Network design	drop				generic concept
Patch management	drop				generic concept
Power Automate	keep	Power Automate	tool	Microsoft Power Automate	
Construct	drop				ordinary word
Atari TOS	drop				noise form; historical
MIS	drop				generic concept
Endpoint Protection	drop				generic concept
YAML	keep	YAML	tool	yml	
Home Assistant	drop				HA noise; honest forms 0
Nix	keep	NixOS	os		Nix: *nix; kept as NixOS
Matplotlib	keep	Matplotlib	data		
Opa	drop				matches are Open Policy Agent, not Opa language
Bicep	keep	Bicep	devops	Azure Bicep	
pluggable authentication module	drop				PAM noise (privileged access mgmt)
Project planning	drop				generic concept
SEO	drop				marketing concept
Remote access	drop				generic concept
Active Server Pages	drop				ASP.Net matches belong to ASP.NET; honest forms almost nothing
Apache Ant	keep	Apache Ant	tool		Ant: ordinary word
MuleSoft	keep	MuleSoft	tool	Mule ESB	
Debuggers	drop				generic concept
PowerPoint	drop				office software nobody lists as engineering skill
Wireshark	keep	Wireshark	networking		
System Integrity Protection	drop				SIP matches are Session Initiation Protocol
Keras	keep	Keras	ml		
Test design	drop				generic concept
ASP.NET	keep	ASP.NET	framework		aspx: file extension
Azure Data Factory	keep	Azure Data Factory	data		
Marketing Cloud	keep	Salesforce Marketing Cloud	tool	Marketing Cloud|SFMC	
SwiftUI	keep	SwiftUI	framework		
Airtable	keep	Airtable	tool		
J	drop				single letter
System testing	drop				generic concept
HubSpot	keep	HubSpot	tool		
Data entry	drop				generic concept
Neo4j	keep	Neo4j	database		
SciPy	keep	SciPy	data		
GIS	drop				generic concept
JavaScript framework	drop				generic concept
Router	drop				generic concept
Carbon	drop				collides with carbon (emissions)
Data mapping	drop				generic concept
OpenStack	keep	OpenStack	cloud		
Chatbot	drop				generic concept
CMake	keep	CMake	tool		
Data General AOS	drop				AOS noise; historical
GDB	keep	GDB	tool	GNU Debugger	
Power Platform	keep	Microsoft Power Platform	tool	Power Platform	
Nginx	keep	Nginx	devops		
Wiring	drop				ordinary word
Failure analysis	drop				generic concept
Objective-C	keep	Objective-C	language	Objc|obj-c|objectivec	
General Problem Solver	drop				GPS noise; historical
Leo	drop				ordinary name
OpenGL	keep	OpenGL	framework	Open GL	GL: general ledger
OpenVMS	drop				VMS noise (video mgmt systems); honest form 3
Presto	keep	Presto	data	PrestoDB|PrestoSQL	
Requirements analysis	drop				generic concept
Logo	drop				ordinary word
Network management	drop				generic concept
Functional testing	drop				generic concept
EQ	drop				emotional quotient noise
React Redux	keep	Redux	framework	React Redux|react-redux	merged with Redux
VM	drop				generic abbreviation
Blueprint	drop				ordinary word
Celery	keep	Celery	framework		
Firebase	keep	Firebase	cloud	Google Firebase	
Google Classroom	drop				education software; Classroom noise
Slice	drop				ordinary word
Diff	drop				ordinary word
SCADA	drop				generic concept (system class)
Apache JMeter	keep	Apache JMeter	testing	JMeter	
Appium	keep	Appium	testing		
Transact-SQL	keep	T-SQL	language	Transact-SQL|TSQL	
Jupyter	keep	Jupyter	tool	Jupyter Notebook|Jupyter Notebooks|JupyterLab|IPython Notebook	
SAS	keep	SAS	data		
SAS Language	keep	SAS	data		merged with SAS
Unreal Engine 1	keep	Unreal Engine	framework	UE4|UE5|Unreal Engine 5	UE: too short; UE 1 left out
Gherkin	keep	Cucumber	testing	Gherkin	matches mostly cucumber; kept as Cucumber
HCL	keep	OpenTofu	devops		HCL: HCLTech company; matches mostly opentofu
A+	drop				CompTIA A+ noise
Prisma	keep	Prisma ORM	framework		Prisma: also Prisma Cloud
Informatica	keep	Informatica	data		
Snap!	drop				snap noise; educational
Sass	keep	Sass	language	SCSS|Syntactically Awesome Style Sheets	
UrWeb	drop				Ur noise; honest forms 0
Elixir	keep	Elixir	language		
Apache Solr	keep	Apache Solr	database	Solr	
ATS	drop				applicant tracking system noise
Dynatrace	keep	Dynatrace	devops		
ArcGIS	keep	ArcGIS	tool		arcgis.com: URL
PL/SQL	keep	PL/SQL	language	PLSQL	
Mesa	drop				ordinary word/place; obscure
Mesa	drop				ordinary word/place; obscure
Software development tools	drop				generic concept
FP	drop				ambiguous abbreviation
Publisher	drop				ordinary word; office software
Power Systems	drop				collides with power systems engineering
tcpdump	keep	tcpdump	networking		
Podman	keep	Podman	devops		
Shoes	drop				ordinary word
Visual Studio	keep	Visual Studio	tool	Microsoft Visual Studio	
OPhone	drop				OMS noise; obscure
Planner	drop				ordinary word
Apache Groovy	keep	Groovy	language	Apache Groovy	
Software as a service SaaS	drop				generic concept
WordPress	keep	WordPress	framework		
Charity	drop				ordinary word
OrientDB	drop				Orient noise; honest form 0
Simulink	keep	Simulink	tool		
Spreadsheet	drop				generic concept
.NET Framework	keep	.NET Framework	framework		
Close to Metal	drop				THIN noise; historical
Apache Continuum	drop				Continuum noise; historical
Entity Framework	keep	Entity Framework	framework	Entity Framework Core|EF Core|ADO.NET Entity Framework	EF: too short
Adventure Game Interpreter	drop				AGI noise
AngularJS	keep	AngularJS	framework	Angular.js|Angular JS	Angular 1.: malformed
Falcon	drop				collides with CrowdStrike Falcon; obscure
jQuery	keep	jQuery	framework		
pcap	drop				generic concept (packet capture)
SCSS	keep	Sass	language	SCSS	merged with Sass
Smartsheet	keep	Smartsheet	tool		
Svelte	keep	Svelte	framework	sveltejs	
InfluxDB	keep	InfluxDB	database		
Ring	drop				ordinary word
SNMP	keep	SNMP	networking	Simple Network Management Protocol	
Tape	drop				ordinary word
Apache Druid	keep	Apache Druid	database	Druid	
Database security	drop				generic concept
Lucid	drop				ordinary word; obscure
Xcode	keep	Xcode	tool		
Jakarta EE	keep	Jakarta EE	framework	J2EE|Java EE|JavaEE|Java Enterprise Edition|Java Platform, Enterprise Edition	
Ninja	drop				ordinary word
Visualforce	keep	Visualforce	framework		
File system	drop				generic concept
Ghidra	keep	Ghidra	security		
HTML+ECR	drop				ecr noise
Io	drop				ordinary token
Zeta	drop				ordinary word; obscure
Azure Cosmos DB	keep	Azure Cosmos DB	database	Cosmos DB|CosmosDB|Azure CosmosDB|Azure DocumentDB	Cosmos: blockchain, other meanings
C3	drop				collides with C3 AI; obscure
Requirements management	drop				generic concept
Stress testing	drop				generic concept
WebGL	keep	WebGL	framework	Web Graphics Library	
Application management	drop				generic concept
OCR	drop				generic concept
Security Support Provider	drop				SSP noise
Bamboo	keep	Bamboo	devops	Atlassian Bamboo	
Dynamic analysis	drop				generic concept
Embedded C	keep	Embedded C	language		
EOS	drop				ambiguous abbreviation
Launchpad	drop				ordinary word
MariaDB	keep	MariaDB	database		
Object-oriented programming languages	drop				generic concept
Propel	drop				ordinary word
Web design	drop				generic concept
Gettext Catalog	drop				pot noise
IBM Db2	keep	IBM Db2	database	Db2	
Thrift	keep	Apache Thrift	framework		Thrift: ordinary word (thrift savings plan)
Windows 7	drop				Vienna noise; outdated
Allegro	drop				ordinary word; obscure
Ace	drop				ordinary word
LXC	keep	LXC	devops	Linux Containers	
Single sign-on SSO	drop				generic concept
Cosmos	drop				obscure OS; Cosmos noise
ECLiPSe	drop				matches are Eclipse IDE; obscure
Fortify	keep	Fortify	security	Micro Focus Fortify|OpenText Fortify	
XL	drop				ordinary token
Arc	drop				ordinary word
EDI	drop				generic concept
Common Lisp	drop				CL noise; honest form 0
SAM	drop				ambiguous abbreviation
ASP.NET Core	keep	ASP.NET Core	framework		ASP.NET vNext: obsolete
AutoCAD	keep	AutoCAD	tool		
Dart	keep	Dart	language		
Defect tracking	drop				generic concept
Dropbox	drop				consumer software
Max	drop				ordinary word
Public Key	drop				generic concept
TestNG	keep	TestNG	testing		
Ping Identity	keep	Ping Identity	security		
Stripes	drop				ordinary word
Apache Tomcat	keep	Apache Tomcat	devops	Tomcat	
SolarWinds	keep	SolarWinds	devops		
CSV	drop				file format, not a skill
Hack	drop				ordinary word
LLVM	keep	LLVM	tool		
Qalb	drop				Alb noise
Windows Presentation Foundation	keep	WPF	framework	Windows Presentation Foundation	
bc	drop				ordinary token
Bouncy Castle	drop				BC noise; honest forms 0
Cypher Query Language	keep	Cypher	language	Cypher Query Language	CQL: also Cassandra Query Language
Jupyter Notebook	keep	Jupyter	tool	Jupyter Notebook|Jupyter Notebooks|IPython Notebook	merged with Jupyter
Ollama	keep	Ollama	ml		
Packet analysis	drop				generic concept
SQLite	keep	SQLite	database		
Tea	drop				ordinary word
Three.js	keep	Three.js	framework	ThreeJS	
WebAssembly	keep	WebAssembly	language	WASM	wast: rarely written
Mozilla Firefox	drop				web browser
QNX	keep	QNX	os		
Recovery testing	drop				generic concept
Web browser	drop				generic concept
Apache Lucene	keep	Apache Lucene	database	Lucene	
DMS	drop				ambiguous abbreviation
Emulators	drop				generic concept
Gmail	drop				consumer software
Lua	keep	Lua	language		
Microsoft Visio	keep	Microsoft Visio	tool	MS Visio|Visio	
QUEL	drop				obscure; collides with French word
CAP CDS	drop				cds is noise
EDA	drop				ambiguous abbreviation (exploratory data analysis, event-driven)
exec	drop				ordinary word
Laravel	keep	Laravel	framework		
Nagios	keep	Nagios	devops		
SQLAlchemy	keep	SQLAlchemy	framework		
Apache HBase	keep	Apache HBase	database	HBase	
Enterprise Linux	drop				generic; fragment of Red Hat Enterprise Linux
Network documentation	drop				generic concept
NUnit	keep	NUnit	testing		
Qlik	keep	Qlik	data		
Shakespeare	drop				SPL is noise
ZAP	keep	OWASP ZAP	security	ZAP	homonym: kept as the security scanner, not the Linguist language
BPM	drop				generic concept; ambiguous abbreviation
CodeQL	keep	CodeQL	security		ql: too short, noise
D3.js	keep	D3.js	framework	D3|d3js	Data-Driven Documents: never written
FlexBox	keep	Flexbox	tool		
Hollywood	drop				obscure; ordinary word
Antivirus	drop				generic concept
ASL	drop				obscure; collides with sign language abbreviation
Database management systems	drop				generic concept
Formatted	drop				ordinary word
Web framework	drop				generic concept
Zabbix	keep	Zabbix	devops		
DuckDB	keep	DuckDB	database		
Mocha	keep	Mocha	testing		
MyBatis	keep	MyBatis	framework		SSM: noise abbreviation
Network storage	drop				generic concept
SAND	drop				ordinary word
Text Processing Utility	drop				obscure; TPU is tensor processing unit
3D graphics	drop				generic concept
Android Open Source Project	keep	Android Open Source Project	os	AOSP	
APL	drop				only match is noise form "A programming language"
Eagle	drop				ordinary word
Roff	drop				man is noise
xUnit	keep	xUnit	testing		
YARA	keep	YARA	security		
Kickstart	drop				ordinary word
MLIR	keep	MLIR	framework		
Rapid7	keep	Rapid7	security		
RSS	drop				generic format; ambiguous abbreviation
Software libraries	drop				generic concept
Ethereum	keep	Ethereum	tool		Ether: ordinary word; ETH: ambiguous (ETH Zurich)
IpTables	keep	iptables	networking		
OCaml	keep	OCaml	language		
Revision control	drop				generic concept
SSRS	keep	SQL Server Reporting Services	data	SSRS	SQL Server Reporting Services SSRS: redundant O*NET form
Storage management	drop				generic concept
Wrike	keep	Wrike	tool		
ABAP	keep	ABAP	language	ABAP/4|Advanced Business Application Programming	German expansion left out
