# Review of the mined skill names (issue #40): one verdict per name of taxonomy-mined-2026-09-24.tsv,
# in that file's order. Sonnet subagents first screened all names (a drop noted "screened out"),
# then reviewed the survivors with the rules of taxonomy-review-2026-09-24.tsv. The reviewers were
# cut off by the usage limit before finishing: 334 survivors, noted "not reviewed", have no verdict
# and are left for issue #41. Key conflicts between reviewers were settled by hand, noted "merge:".
# Merged with taxonomy-review-2026-09-24.tsv into src/main/resources/taxonomy/skills.tsv by
# scripts/taxonomy_select.py with a threshold of 3.
name	verdict	canonical	category	aliases	note
System Administrator	drop				screened out
Apache Iceberg	keep	Apache Iceberg	data	Iceberg	merge group, see Iceberg
Bonus Qualifications	drop				screened out
Rust Experience	drop				screened out
Snowflake Databricks	drop				screened out
.NET Core	keep	.NET	framework	.NET Core	distinct entry from bare .NET; merge: .NET Core is an alias of .NET
e.g Kafka	drop				screened out
Ansible Puppet	drop				screened out
AWS Lambda	keep	AWS Lambda	cloud	Lambda	merge group, see Lambda
PowerShell python	drop				screened out
000 USD At	drop				screened out
360	drop				screened out
CCNA	drop				screened out
Frameworks PyTorch	drop				screened out
Jetpack	keep	Android Jetpack	framework		ambiguous with the WordPress Jetpack plugin; picked Android Jetpack given co-occurring Jetpack Compose, uncertain
Agentforce	keep	Salesforce Agentforce	ml	Agentforce	merge: one skill
WebSockets	keep	WebSocket	networking	WebSockets	merges with WebSocket in this slice
Microsoft Entra	keep	Microsoft Entra ID	security	Microsoft Entra	merge group, see Entra
React Experience	drop				screened out
JavaScript React	drop				screened out
AWS SageMaker	keep	Amazon SageMaker	ml	AWS SageMaker	
Assured	drop				screened out
GovCloud	keep	AWS GovCloud	cloud	GovCloud	merges with AWS GovCloud in this slice
HashiCorp	drop				screened out
2013	drop				screened out
Argo CD	keep	Argo CD	devops	ArgoCD	merge group, see ArgoCD
AWS Security	drop				screened out
Certified Solutions	drop				screened out
Data Factory	keep	Azure Data Factory	data	Data Factory	
SSL	keep	SSL	security		distinct entry from TLS
APIs Databases	drop				screened out
CD Observability	drop				screened out
Jamf	keep	Jamf	tool		
VPCs	keep	VPC	cloud	VPCs	merge group, see VPC
APIs REST	drop				screened out
Athena	keep	Amazon Athena	data	Athena	ambiguous with the Greek goddess/given name, but near=0.88 is strongly tech in this corpus
Fortinet	drop				screened out
67	drop				screened out
CCSP	drop				screened out
Orchestration Kubernetes	drop				screened out
Python node.js	drop				screened out
WebRTC	keep	WebRTC	networking		
Hat	drop				screened out
HIV	drop				screened out
PLM	drop				screened out
WCAG	drop				screened out
Azure AI	drop				generic umbrella term for Microsoft's Azure AI services (Azure OpenAI, Azure AI Foundry, Azure AI Search kept separately)
Copilot Claude	drop				screened out
Frontend TypeScript	drop				screened out
Responsibilities Define	drop				screened out
Azure AD	keep	Microsoft Entra ID	security	Azure AD	merge group, see Entra; legacy name
Dataflow	keep	Google Cloud Dataflow	data	Dataflow	
Database Administrator	drop				screened out
Microsoft Entra ID	keep	Microsoft Entra ID	security		merge group, see Entra; canonical form itself
Notion	keep	Notion	tool		
PaaS	drop				screened out
Position Overview We	drop				screened out
CD GitLab	drop				screened out
Certified Solutions Architect	drop				screened out
Code GitHub	drop				screened out
MVC	drop				screened out
Typescript Node.js	drop				screened out
AWS S3	keep	Amazon S3	cloud	S3|AWS S3	
DOM	drop				screened out
Jenkins GitHub Actions	drop				screened out
Kubernetes Helm	drop				screened out
OpenID	keep	OpenID	security		distinct legacy protocol from OpenID Connect
AWS Solutions	drop				screened out
Ping	drop				screened out
1 500	drop				screened out
Cloud Architect	drop				screened out
Forrester	drop				screened out
Nexus	drop				ordinary word "nexus" (connection point, business jargon, 13% lowercase), ambiguous with Sonatype Nexus repository
AIDS	drop				screened out
Azure Google	drop				screened out
CKA	drop				screened out
IBM	drop				screened out
Kotlin Java	drop				screened out
Palantir	drop				screened out
PL	drop				screened out
VC	drop				screened out
WiFi	keep	Wi-Fi	networking	WiFi	merge group, see Wi Fi
Desired Qualifications Experience	drop				screened out
EC2 S3	drop				screened out
Native Backend	drop				screened out
AWS EKS	keep	Amazon EKS	cloud	EKS	merge group, see EKS; merge: Amazon EKS is cloud, like the rest of its kind
Jetpack Compose	keep	Jetpack Compose	framework		
Kubernetes CI	drop				screened out
Parquet	keep	Apache Parquet	data	Parquet	
Scripting Python	drop				screened out
SGLang	keep	SGLang	ml		
Skills Python	drop				screened out
Platform AWS	drop				screened out
Frontend TypeScript React	drop				screened out
MVVM	drop				screened out
Python FastAPI	drop				screened out
Slurm	keep	Slurm	devops		
Actions Jenkins	drop				screened out
CSS JavaScript	drop				screened out
Microsoft Certified	drop				screened out
OLAP	drop				screened out
OpenID Connect	keep	OpenID Connect	security	OIDC	merge group, see OIDC
Python Strong	drop				screened out
C C++ Python	drop				screened out
Envoy	keep	Envoy	devops		
Job Summary We	drop				screened out
Qualifications Familiarity	drop				screened out
STIG	drop				screened out
Actions GitLab	drop				screened out
Azure OpenAI	keep	Azure OpenAI	ml		
Cloud Native Security	drop				screened out
Cloud DevOps	drop				screened out
ES6+	keep	ES6	language	ES6+	version-numbered form kept per guide exception
Zapier	keep	Zapier	tool		
Desired Experience	drop				screened out
Docker Experience	drop				screened out
eBPF	keep	eBPF	networking		merge: eBPF is networking, as the BPF row says
GitHub Actions GitLab	drop				screened out
Langfuse	keep	Langfuse	ml		
OCI	keep	Oracle Cloud Infrastructure	cloud	OCI	merges with Oracle Cloud in this slice
BDD	drop				screened out
Fivetran	keep	Fivetran	data		
FSAs	drop				screened out
KMS	keep	AWS KMS	security	KMS	minor homonym with Microsoft KMS (volume-license activation); AWS meaning overwhelmingly dominant in a software-engineering corpus
Kubernetes Cloud	drop				screened out
NAT	keep	NAT	networking		
NX	keep	Nx	devops		short abbreviation, some collision risk, but a clean signal in this corpus
skills Familiarity	drop				screened out
Spotify	drop				screened out
Synapse	keep	Azure Synapse Analytics	data	Synapse	bare "synapse" is an ordinary neuroscience term, but near=0.91/cap=0.99 is strongly tech in this corpus; merges with Azure Synapse in this slice
AWS Certified Solutions	drop				screened out
Arista	drop				screened out
Beam	drop				multi-way ambiguity (Apache Beam vs the Erlang/Elixir BEAM VM vs the ordinary word "beam"), 14% lowercase noise
Kubernetes Version	drop				screened out
Kubernetes Version Control	drop				screened out
APM	drop				screened out
Einstein	drop				homonym with the physicist's name/common metaphor; Salesforce Einstein kept separately
Kubernetes You	drop				screened out
PostgreSQL Experience	drop				screened out
PostgreSQL MongoDB	drop				screened out
Debian	keep	Debian	os		
Wiz	keep	Wiz	security		
Ansible Terraform	drop				screened out
Kibana	keep	Kibana	devops		
SecOps	drop				screened out
Yocto	keep	Yocto Project	tool	Yocto	
ABAC	keep	ABAC	security		
AI Large	drop				screened out
Azure Google Cloud	drop				screened out
Dell	drop				screened out
Python Familiarity	drop				screened out
SPA	drop				screened out
Azure SQL	keep	Azure SQL Database	database	Azure SQL	
Infrastructure DevOps	drop				screened out
LangSmith	keep	LangSmith	ml		
AWS Docker	drop				screened out
Grafana ELK	drop				screened out
Practices CI	drop				screened out
Stack Python	drop				screened out
Git Experience	drop				screened out
AWS CDK	keep	AWS CDK	devops		merge group, see CDK; canonical form itself
Azure Solutions	drop				screened out
Elastic Search	keep	Elasticsearch	database	Elastic Search	merge group, see Elastic
Python Frontend	drop				screened out
S3 Lambda	drop				screened out
Vercel	keep	Vercel	cloud		
advanced Python	drop				screened out
AWS Solutions Architect	drop				screened out
CDC	drop				screened out
JTAG	keep	JTAG	tool		
QoS	drop				generic networking concept (Quality of Service), not a specific named technology
KVM	keep	KVM	devops		homonym with a KVM hardware switch; picked kernel virtualization as dominant given the engineering context
ORM	drop				screened out
PostgreSQL Redis	drop				screened out
React Native Backend	drop				screened out
Spark Kafka	drop				screened out
tribe	drop				screened out
a16z	drop				screened out
AWS GovCloud	keep	AWS GovCloud	cloud		merge group, see GovCloud; canonical form itself
IDEs	drop				screened out
LDAP	keep	LDAP	security		
RHEL	keep	Red Hat Enterprise Linux	os	RHEL	
Secrets Manager	keep	AWS Secrets Manager	security	Secrets Manager	
TTPs	drop				screened out
Unreal	keep	Unreal Engine	framework		merged into the existing Unreal Engine entry
Hyper V	keep	Hyper-V	devops		input form "Hyper V" (space) is rare; real spelling is hyphenated "Hyper-V"
JavaScript ES6+	drop				screened out
Python Rust	drop				screened out
Zendesk	keep	Zendesk	tool		
Actions GitLab CI	drop				screened out
Architect Expert	drop				screened out
Azure Solutions Architect	drop				screened out
Golang experience	drop				screened out
Languages Java	drop				screened out
Apollo	keep	Apollo GraphQL	framework		ambiguous with generic "Apollo" (NASA program, mythology, company names); near=0.28 is relatively low, uncertain
Kustomize	keep	Kustomize	devops		
Microsoft SQL	keep	Microsoft SQL Server	database	Microsoft SQL	merged into the existing Microsoft SQL Server entry
MQTT	keep	MQTT	networking		
ONNX	keep	ONNX	ml		
Trainer	drop				screened out
Upper Intermediate	drop				screened out
WebSocket	keep	WebSocket	networking		merge group, see WebSockets; canonical form itself
25 000	drop				screened out
Grafana Loki	drop				screened out
Linux Windows	drop				screened out
native software	drop				screened out
Platforms Azure	drop				screened out
Zero Trust Architecture	drop				screened out
106	drop				screened out
Anthropic Claude	keep	Claude	ml	Anthropic Claude	merge group, see Claude
Cortex	drop				multi-way homonym (ARM Cortex processors, Palo Alto Cortex XDR, Snowflake Cortex, etc.), no dominant meaning determinable
Learning ML	drop				screened out
OLTP	drop				screened out
OSI	drop				screened out
Python C	drop				screened out
Qualifications 4+	drop				screened out
REST Assured	drop				common English idiom "rest assured" collision (32% lowercase), unsafe despite being a real Java testing library name
RPA	drop				screened out
UiPath	keep	UiPath	tool		
CloudOps	drop				screened out
Fargate	keep	AWS Fargate	cloud	Fargate	
Golang Python	drop				screened out
Kubernetes Familiarity	drop				screened out
LeetCode	drop				interview-practice platform mentioned in hiring-process text, not a technology skill; very low company diversity (3)
Lightning Web	drop				screened out
Red Hat	drop				company name, not a specific technology (RHEL kept separately)
Senior Frontend	drop				screened out
SOAP APIs	drop				screened out
.NET C#	drop				screened out
Blob	drop				screened out
Kafka Flink	drop				screened out
Lightning Web Components	keep	Lightning Web Components	framework	LWC	
Orchestrator	drop				screened out
PREFERRED QUALIFICATIONS Strong	drop				screened out
Python Pandas	drop				screened out
TOGAF	drop				screened out
EPPA	drop				screened out
HashiCorp Vault	keep	HashiCorp Vault	security		merge group, see Vault; canonical form itself
Key Vault	keep	Azure Key Vault	security	Key Vault	fragment of "Azure Key Vault", commonly used alone in Azure-context job ads
Node.js Python	drop				screened out
Solutions Architect Expert	drop				screened out
C# Experience	drop				screened out
CSM	drop				screened out
DevOps CI	drop				screened out
Harbor	drop				ordinary word/common phrase "safe harbor" (legal/compliance term, 20% lowercase); distinct from the CNCF Harbor registry
Kafka Spark	drop				screened out
PIM	drop				screened out
Prometheus Grafana ELK	drop				screened out
Purview	keep	Microsoft Purview	data		ordinary word "purview" (scope/domain) present as minor noise (8%)
Typescript Java	drop				screened out
Blue Green	drop				screened out
IaaS	drop				screened out
Languages Go	drop				screened out
Linux experience	drop				screened out
medallion	drop				screened out
Microsoft Copilot	keep	Microsoft Copilot	tool		resolves the other half of the Copilot homonym
Viv	drop				screened out
VXLAN	keep	VXLAN	networking		
Databricks You	drop				screened out
Go You	drop				screened out
Kubernetes Strong	drop				screened out
programa	drop				screened out
React React	drop				screened out
U	drop				screened out
APIs Cloud	drop				screened out
AWS IAM	keep	AWS IAM	security		distinct specific-product entry alongside generic IAM
esp	drop				screened out
Face Transformers	drop				screened out
Group Policy	keep	Group Policy	security		
Hugging Face Transformers	keep	Hugging Face Transformers	ml		
MPLS	keep	MPLS	networking		
Bring 3+	drop				screened out
C# Java	drop				screened out
CCIE	drop				screened out
Docker Terraform	drop				screened out
Frontend React	drop				screened out
GCC	keep	GCC	tool		
Python C#	drop				screened out
qualifications Technical	drop				screened out
Technical Architect	drop				screened out
Architect Professional	drop				screened out
B2	drop				screened out
Buildkite	keep	Buildkite	devops		
GCP Strong	drop				screened out
GUI	drop				screened out
GV	drop				screened out
Have Databricks	drop				screened out
iPaaS	drop				screened out
Orchestration Docker	drop				screened out
Preferred Qualifications Familiarity	drop				screened out
Qualifications Advanced	drop				screened out
Qualifications Hands	drop				screened out
TeamCity	keep	TeamCity	devops		
ActiveMQ	keep	ActiveMQ	data		
Buck	drop				obscure/niche build tool (Meta's Buck), heavy collision with the common noun "buck" (dollar/deer), too concentrated (10 companies)
certifications AWS	drop				screened out
CloudFront	keep	Amazon CloudFront	cloud	CloudFront	
Desired Skills Experience	drop				screened out
DX	drop				screened out
Multiplatform	drop				screened out
Python You	drop				screened out
React React Native	drop				screened out
GCP Cloud	drop				screened out
NCCL	keep	NCCL	ml		
programmer	drop				screened out
RoCE	keep	RoCE	networking		
SSH	keep	SSH	networking		
Strong C	drop				screened out
Swagger	keep	Swagger	tool		
Azure Security	drop				screened out
Azure We	drop				screened out
Ceph	keep	Ceph	database		
AI AWS	drop				screened out
API Management	drop				screened out
AWS Terraform	drop				screened out
CISSP CISM	drop				screened out
DDoS	drop				screened out
e.g Airflow	drop				screened out
Gatekeeper	drop				ordinary word/role term "gatekeeper" (48% lowercase), too ambiguous (macOS Gatekeeper vs K8s OPA Gatekeeper vs generic term)
JavaScript Experience	drop				screened out
Microsoft Fabric	keep	Microsoft Fabric	data		distinct from bare Fabric (dropped)
Microsoft Intune	keep	Microsoft Intune	tool		merge group, see Intune; canonical form itself
Qualifications Deep	drop				screened out
Azure Administrator	drop				screened out
EBS	keep	Amazon EBS	cloud	EBS	
IPC	drop				screened out
Microsoft Power	drop				screened out
Solutions Architect Professional	drop				screened out
VLAN	keep	VLAN	networking	VLANs	merge group, see VLANs; canonical form itself
Azure Kubernetes	drop				screened out
CD GitHub	drop				screened out
CNCF	drop				screened out
Engineer Backend	drop				screened out
IDA	drop				screened out
JSON XML	drop				screened out
L4	drop				screened out
LWC	keep	Lightning Web Components	framework	LWC	merge group, see Lightning Web Components
M365	keep	Microsoft 365	tool	M365	merge group, see Microsoft 365
Redpoint	drop				screened out
AWS EC2	keep	Amazon EC2	cloud	EC2|AWS EC2	merged into existing Amazon EC2 entry
Certified Azure	drop				screened out
Cloud Security Engineer	drop				screened out
Coroutines	drop				screened out
Familiaridade	drop				screened out
HTML5 CSS3	drop				screened out
Kafka Experience	drop				screened out
Python Hands	drop				screened out
AWS Strong	drop				screened out
Buffers	drop				screened out
Diferenciais	drop				screened out
DL	drop				screened out
IaC Terraform	drop				screened out
Microsoft Certified Azure	drop				screened out
Microsoft Office Suite	drop				screened out
Windsurf	keep	Windsurf	tool		
x86	keep	x86	tool		distinct from the existing "x86 assembly" (language) entry
XSS	keep	XSS	security		
AI Search	keep	Azure AI Search	database	AI Search	fragment of "Azure AI Search" (formerly Azure Cognitive Search), somewhat uncertain
AWS MySQL	drop				screened out
Bonus Qualifications Experience	drop				screened out
C#.NET	drop				screened out
CE QUE NOUS	drop				screened out
Circle	drop				screened out
CloudTrail	keep	AWS CloudTrail	security	CloudTrail	merge: AWS CloudTrail is security, like the rest of its kind
